menu_index,Basic_ID,Basic_Name,Basic_Weight_g,Basic_Price_TWD,Label_Cal_kcal,Label_CalNoSa_kcal,Label_Carbohydrate_g,Label_Protein_g,Label_Fat_g,Label_Sugar_g,Label_DietFiber_g,Label_Water_g,Label_Coffeine,Compound_MonoSa_g,Compound_DiSa_g,Compound_PolySa_g,Compound_SaFat_g,Compound_MonounUnsaFat_g,Compound_PolyUnsaFat_g,Compound_TransFat_g,Compound_Cholesterol_mg,Vitamin_A_μg,Vitamin_D_μg,Vitamin_E_μg,Vitamin_K_μg,Vitamin_B1_mg,Vitamin_B2_mg,Vitamin_B6_μg,Vitamin_B12_μg,Vitamin_C_mg,Vitamin_B3_μg,Vitamin_B9_μg,Vitamin_Choline_μg,Vitamin_B7_μg,Vitamin_B5_μg,Element_Na_mg,Element_Ca_mg,Element_P_mg,Element_Mg_mg,Element_Fe_mg,Element_Zi_mg,Element_I_mg,Element_Se_mg,Element_F_mg
150,0002EATHXC2F0024,冰拿鐵,,,120,,9.6,7.3,5.9,,,,B,,,,,,,,,,,,,,,,,,,,,,,74,,,,,,,,
151,0002EATHXA2F0025,熱拿鐵,,,87,,7.8,4.8,3.9,,,,B,,,,,,,,,,,,,,,,,,,,,,,51.6,,,,,,,,
152,0002EATHXC2A0026,檸檬紅茶(中),,,176,,43.8,0.12,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,
153,0002EATHXC2A0027,熱黃金香柚茶,,,151.8,,37.3,0.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,60.4,,,,,,,,
154,0002EATHXC2A0028,寒天黃金柚綠茶,,,243,,59,1.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,125.1,,,,,,,,
155,0002EATHXC2A0029,柳橙汁杯裝,,,93.4,,22,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,
156,0002EATHXC1C0030,百事可樂(中),,,195,,53,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,
157,0002EATHXC1C0031,七喜(中),,,202,,54.2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,68,,,,,,,,
158,0002EALHKC1C0032,林鳳營鮮乳,,,156,,13,7.1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,118,,,,,,,,
159,0002EABHKB1F0033,培根蛋起司哈斯,,,294,,28,12.4,14.8,,,,,,,,,,,,,,,,,,,,,,,,,,,308.4,,,,,,,,
160,0002EABHKB1F0034,火腿蛋起司哈斯,,,277.6,,29.3,18.4,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,,673.3,,,,,,,,
161,0002EABHKB1F0035,肉鬆蛋餅捲,,,235,,32.4,8.3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,524,,,,,,,,
162,0002EABHKB1F0036,西班牙香腸蛋餅捲,,,274,,29.5,8.9,13.3,,,,,,,,,,,,,,,,,,,,,,,,,,,721,,,,,,,,
163,0002EABHKB1F0037,主廚煙燻燒餅,,,413,,36.9,14.2,23.2,,,,,,,,,,,,,,,,,,,,,,,,,,,651,,,,,,,,
164,0002EABHKB1F0038,金黃雙薯蛋燒餅,,,526,,45.1,13.4,32.4,,,,,,,,,,,,,,,,,,,,,,,,,,,857.8,,,,,,,,
165,0002EABHKBAH0039,總匯歐姆蛋燒餅,,,512,,41.3,19.6,29.8,,,,,,,,,,,,,,,,,,,,,,,,,,,617,,,,,,,,
166,0002EABHKB1F0040,皮蛋瘦肉粥(加肉鬆),,,273,,37.4,13.7,7.69,,,,,,,,,,,,,,,,,,,,,,,,,,,1457,,,,,,,,
167,0002EABHKB1F0041,三角薯餅,,,111,,16.7,0.3,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,328,,,,,,,,
168,0004AAJKVE2H0001,招牌鍋貼,,5,63.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,0004AAJKVE2H0002,韭菜鍋貼,,5,59.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,0004AAJKVEGK0003,韓式辣味鍋貼,,5.5,68.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,0004AAJKVE2H0004,咖哩鍋貼,,5.5,67.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,0004AAJKVE2H0005,田園蔬菜鍋貼,,5.5,42.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,0004AAJKVE2H0006,玉米鍋貼,,5.5,50.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,0004AAJKVE2H0007,招牌水餃,,5,56.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,0004AAJKVE2H0008,韭菜水餃,,5,52.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,0004AAJKVEGK0009,韓式辣味水餃,,5.5,60.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,0004AAJKVE2H0010,咖哩水餃,,5.5,60.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,0004AAJKVE2H0011,田園蔬菜水餃,,5.5,35.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,0004AAJKVE2H0012,玉米水餃,,5.5,43.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,0004AAJKVE2H0013,鮮蝦水餃,,8,60.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,0004AAJKVD2H0014,招牌生水餃（20個）,,90,1130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,0004AAJKVD2H0015,韭菜生水餃（20個）,,90,1048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,0004AAJKVDGK0016,韓式辣味生水餃（20個）,,100,1210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,0004AAJKVD2H0017,咖哩生水餃（20個）,,100,1204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,0004AAJKVD2H0018,田園蔬菜生水餃（20個）,,100,718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,0004AAJKVD2H0019,玉米生水餃（20個）,,100,872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,0004AAJKVD2H0020,鮮蝦生水餃（20個）,,150,1210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,0004AAJKVD2H0021,招牌生水餃（50個）,,225,2825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,0004AAJKVD2H0022,韭菜生水餃（50個）,,225,2620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,0004AAJKVDGK0023,韓式辣味生水餃（50個）,,250,3025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,0004AAJKVD2H0024,咖哩生水餃（50個）,,250,3010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,0004AAJKVD2H0025,田園蔬菜生水餃（50個）,,250,1795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,0004AAJKVD2H0026,玉米生水餃（50個）,,250,2180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,0004AAJKVD2H0027,鮮蝦生水餃（50個）,,375,3025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,0004AAJKVD2H0028,珍珠生餛飩（15個）,,80,948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,0004AAJKVD2H0029,菜肉大生餛飩（10個）,,80,620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,0004AAJKVD2H0030,菜肉大生餛飩（20個）,,150,1240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,0004AAJKVH1C0031,白豆漿（杯）,,15,186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,0004AAJKVH1C0032,白豆漿（袋）,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,0004AAJKVH1C0033,無糖豆漿（杯）,,15,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,0004AAJKVH1C0034,無糖豆漿（袋）,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,0004AAJKVH1C0035,黑豆漿（杯）,,15,186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,0004AAJKVH1C0036,黑豆漿（袋）,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,0004AAJKVH2A0034,洛神麴梅汁,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,0004AAJKVE2A0035,酸辣湯,,25,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,0004AAJKVE2H0036,玉米濃湯,,25,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,0004AAJKVE1F0037,旗魚花枝丸湯,,25,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,0004AAJKVE1F0038,蕈菇湯,,30,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,0004AAJKVE1F0039,蘿蔔排骨湯,,35,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,0004AAJKVE1F0040,珍珠餛飩湯,,40,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,0004AAJKVE1F0041,菜肉大餛飩湯,,50,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,0004AAJKVEAH0042,酸辣湯餃,,65,657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,0004AAJKVE2H0043,玉米湯餃,,65,692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,0004AAJKVE1F0044,古早味乾麵,,35,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,0004AAJKVE2K0045,特調乾麵,,35,318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,0004AAJKVE1F0046,麻醬乾麵,,40,430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,0004AAJKVE1F0047,黑芝麻乾麵,,40,420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,0004AAJKVE1F0048,醡醬乾麵,,45,372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,0004AAJKVE1F0049,古早味湯麵,,35,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,0004AAJKVE1F0050,珍珠餛飩麵,,55,620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,0004AAJKVE1F0051,榨菜肉絲麵,,50,423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,0004AAJKVEAH0052,酸辣湯麵,,50,455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,0004AAJKVE1F0053,菜肉大餛飩麵,,65,530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,0004AAJKVE1F0054,珍珠抄手,,50,425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,0004AAJKVE1F0055,菜肉大抄手,,65,410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,0004AAJKVE1F0056,滷蛋,,10,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,0004AAJKVE1F0057,黃金豆腐,,25,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,0004AAJKVE1F0058,燙青菜,,30,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,0004AAJKVE1F0059,燉蘿蔔,,30,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,0004AAJKVE1F0060,家常小菜,,30,280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,0005EAJLWE1F0001,卡茲塔塔豬Q餅皮1/10片,,,191,,21.5,8.3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,385,,,,,,,,
232,0005EAJLWE1F0002,經典紐約熱狗Q餅皮1/8片,,,272,,20,11,12,,,,,,,,,,,,,,,,,,,,,,,,,,,631,,,,,,,,
233,0005EAJLWE1F0003,厚汁醬烤牛肉球Q餅皮1/8片,,,236,,29,10.7,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,598,,,,,,,,
234,0005EAJLWE2K0004,地獄嗆辣火烤豬Q餅皮,,,187,,22.2,7.9,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,475,,,,,,,,
235,0005EAJLWE2K0005,章魚大阪燒Q餅皮1/10片,,,179,,22.3,7.9,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,638,,,,,,,,
236,0005EAJLWE2K0006,紐奧良烤雞Q餅皮1/10片,,,191,,22.9,9.3,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,705,,,,,,,,
237,0005EAJLWE1F0007,法式魚球Q餅皮1/10片,,,186,,24.6,8.3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,430,,,,,,,,
238,0005EAJLWE1F0008,(大)卡茲塔塔豬Q多力多滋餅皮1/10片,,,227,,26,8.7,9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,428,,,,,,,,
239,0005EAJLWE1F0009,(大)經典紐約熱狗Q多力多滋餅皮1/8片,,,254,,28.5,9.3,11.4,,,,,,,,,,,,,,,,,,,,,,,,,,,548,,,,,,,,
240,0005EAJLWE1F0010,(大)厚汁醬烤牛肉球Q多力多滋餅皮1/8片,,,225,,27.7,9,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,521,,,,,,,,
241,0005EAJLWE2K0011,(大)地獄嗆辣火烤豬Q多力多滋餅皮,,,223,,26.7,8.4,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,517,,,,,,,,
242,0005EAJLWE1F0012,(大)章魚大阪燒Q多力多滋餅皮1/10片,,,206,,27.5,7.6,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,489,,,,,,,,
243,0005EAJLWE2K0013,(大)紐奧良烤雞Q多力多滋餅皮1/10片,,,212,,27.8,9.1,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,559,,,,,,,,
244,0005EAJLWE1F0014,(大)法式魚球Q多力多滋餅皮1/10片,,,222,,29.1,8.8,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,472,,,,,,,,
245,0005EAJLWE1F0015,(大)超級海鮮宴滋多星餅皮1/12片,,,204,,21.5,10.1,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,511,,,,,,,,
246,0005EAJLWE1F0016,(大)壽喜雪花牛滋多星餅皮1/12片,,,203,,22,9.6,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,518,,,,,,,,
247,0005EAJLWE1F0017,(大)御牛黃金鱈滋多星餅皮1/12片,,,218,,22.9,10.7,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,548,,,,,,,,
248,0005EAJLWE2H0018,(大)黃金和風雞滋多星餅皮1/12片,,,225,,21.9,10.4,10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,497,,,,,,,,
249,0005EAJLWE2H0019,(大)夏威夷滋多星餅皮1/12片,,,301,,21.5,9.3,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,464,,,,,,,,
250,0005EAJLWE2H0020,(大)和風章魚燒滋多星餅皮1/12片,,,206,,21.6,9.5,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,478,,,,,,,,
251,0005EAJLWE1F0021,(大)超級總匯滋多星餅皮1/12片,,,221,,20.7,10.1,10.2,,,,,,,,,,,,,,,,,,,,,,,,,,,507,,,,,,,,
252,0005EAJLWE1F0022,(大)海鮮滋多星餅皮1/12片,,,204,,21,9.9,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,465,,,,,,,,
253,0005EAJLWE2K0023,(大)鐵板牛柳滋多星餅皮1/12片,,,211,,20.6,9.6,10,,,,,,,,,,,,,,,,,,,,,,,,,,,497,,,,,,,,
254,0005EAJLWE2K0024,(大)哈辣墨西哥滋多星餅皮1/12片,,,204,,20.6,9.4,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,495,,,,,,,,
255,0005EAJLWE2K0025,(大)韓式泡菜燒肉滋多星餅皮1/12片,,,211,,21,10.1,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,,498,,,,,,,,
256,0005EAJLWE1F0026,(大)海陸大亨滋多星餅皮1/12片,,,210,,21,9.8,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,518,,,,,,,,
257,0005EAJLWE1F0027,(大)雙層美式臘腸滋多星餅皮1/12片,,,212,,20.2,10,10.1,,,,,,,,,,,,,,,,,,,,,,,,,,,479,,,,,,,,
258,0005EAJLWE1F0028,(大)法式蝦蟹鮑魚菇滋多星餅皮1/12片,,,200,,20.2,10.1,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,
259,0005EAJLWE1F0029,(大)六小福滋多星餅皮1/12片,,,215,,20.5,10.2,10.2,,,,,,,,,,,,,,,,,,,,,,,,,,,506,,,,,,,,
260,0005EAJLWE2H0030,(大)燻雞絲蘑菇滋多星餅皮1/12片,,,200,,20.8,9.8,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,469,,,,,,,,
261,0005EAJLWE2H0031,(大)彩蔬鮮菇滋多星餅皮1/12片,,,197,,20.7,9.3,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,489,,,,,,,,
262,0005EAJLWE2H0032,(大)鄉野青蔬滋多星餅皮1/12片,,,202,,22,9.2,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,481,,,,,,,,
263,0005EAJLWE1F0033,(大)皇朝海龍宴滋多星餅皮1/12片,,,239,,24.7,10.6,10.9,,,,,,,,,,,,,,,,,,,,,,,,,,,582,,,,,,,,
264,0005EAJLWE1F0034,(大)炙燒松坂滋多星餅皮1/12片,,,200,,20.6,9.7,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,467,,,,,,,,
265,0005EAJLWE1F0035,(大)超級海鮮宴酥香波蘿芝心餅皮1/10片,,,290,,31.1,13,12.1,,,,,,,,,,,,,,,,,,,,,,,,,,,686,,,,,,,,
266,0005EAJLWE1F0036,(大)壽喜雪花牛酥香波蘿芝心餅皮1/10片,,,294,,32.1,13.1,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,725,,,,,,,,
267,0005EAJLWE1F0037,(大)御牛黃金鱈酥香波蘿芝心餅皮1/10片,,,306,,32.8,13.9,13.2,,,,,,,,,,,,,,,,,,,,,,,,,,,720,,,,,,,,
268,0005EAJLWE2H0038,(大)黃金和風雞酥香波蘿芝心餅皮1/10片,,,386,,31.8,17,21,,,,,,,,,,,,,,,,,,,,,,,,,,,710,,,,,,,,
269,0005EAJLWE2H0039,(大)夏威夷滋多星酥香波蘿芝心餅皮1/10片,,,304,,31.6,12.7,13.9,,,,,,,,,,,,,,,,,,,,,,,,,,,583,,,,,,,,
270,0005EAJLWE2H0040,(大)和風章魚燒酥香波蘿芝心餅皮1/10片,,,345,,31.4,14.9,17.4,,,,,,,,,,,,,,,,,,,,,,,,,,,690,,,,,,,,
271,0005EAJLWE1F0041,(大)超級總匯酥香波蘿芝心餅皮1/10片,,,320,,29.6,13.7,15.2,,,,,,,,,,,,,,,,,,,,,,,,,,,679,,,,,,,,
272,0005EAJLWE1F0042,(大)海鮮酥香波蘿芝心餅皮1/10片,,,292,,28.6,13.7,13.4,,,,,,,,,,,,,,,,,,,,,,,,,,,346,,,,,,,,
273,0005EAJLWE2K0043,(大)鐵板牛柳酥香波蘿芝心餅皮1/10片,,,318,,27.1,13.8,16.9,,,,,,,,,,,,,,,,,,,,,,,,,,,621,,,,,,,,
274,0005EAJLWE2K0044,(大)哈辣墨西哥酥香波蘿芝心餅皮1/10片,,,340,,27.9,15,18.5,,,,,,,,,,,,,,,,,,,,,,,,,,,674,,,,,,,,
275,0005EAJLWE2K0045,(大)韓式泡菜燒肉酥香波蘿芝心餅皮1/10片,,,355,,29.6,16.4,18.7,,,,,,,,,,,,,,,,,,,,,,,,,,,834,,,,,,,,
276,0005EAJLWE1F0046,(大)海陸大亨酥香波蘿芝心餅皮1/10片,,,346,,29.5,16.3,17.8,,,,,,,,,,,,,,,,,,,,,,,,,,,736,,,,,,,,
277,0005EAJLWE1F0047,(大)雙層美式臘腸酥香波蘿芝心餅皮1/10片,,,363,,27.2,16.4,20.6,,,,,,,,,,,,,,,,,,,,,,,,,,,708,,,,,,,,
278,0005EAJLWE1F0048,(大)法式蝦蟹鮑魚菇酥香波蘿芝心餅皮1/10片,,,319,,27.4,14.7,16.1,,,,,,,,,,,,,,,,,,,,,,,,,,,696,,,,,,,,
279,0005EAJLWE1F0049,(大)六小福酥香波蘿芝心餅皮1/10片,,,310,,29.3,13.8,15.3,,,,,,,,,,,,,,,,,,,,,,,,,,,675,,,,,,,,
280,0005EAJLWE2H0050,(大)燻雞絲蘑菇酥香波蘿芝心餅皮1/10片,,,330,,29,15.6,16.7,,,,,,,,,,,,,,,,,,,,,,,,,,,670,,,,,,,,
281,0005EAJLWE2H0051,(大)彩蔬鮮菇酥香波蘿芝心餅皮1/10片,,,322,,28.8,14.2,16.4,,,,,,,,,,,,,,,,,,,,,,,,,,,668,,,,,,,,
282,0005EAJLWE2H0052,(大)鄉野青蔬酥香波蘿芝心餅皮1/10片,,,332,,31.3,14.4,16.4,,,,,,,,,,,,,,,,,,,,,,,,,,,711,,,,,,,,
283,0005EAJLWE1F0053,(大)皇朝海龍宴酥香波蘿芝心餅皮1/10片,,,359,,33.6,15.9,17.7,,,,,,,,,,,,,,,,,,,,,,,,,,,695,,,,,,,,
284,0005EAJLWE1F0054,(大)炙燒松坂酥香波蘿芝心餅皮1/10片,,,324,,28.6,14.7,16.5,,,,,,,,,,,,,,,,,,,,,,,,,,,609,,,,,,,,
285,0005EAJLWE1F0055,(大)超級海鮮宴酥香波蘿餅皮1/10片,,,298,,34.2,10.5,12.7,,,,,,,,,,,,,,,,,,,,,,,,,,,432,,,,,,,,
286,0005EAJLWE1F0056,(大)壽喜雪花牛酥香波蘿餅皮1/10片,,,300,,34.9,10.3,13.2,,,,,,,,,,,,,,,,,,,,,,,,,,,464,,,,,,,,
287,0005EAJLWE1F0057,(大)御牛黃金鱈酥香波蘿餅皮1/10片,,,311,,35.6,11.1,13.8,,,,,,,,,,,,,,,,,,,,,,,,,,,459,,,,,,,,
288,0005EAJLWE2H0058,(大)黃金和風雞酥香波蘿餅皮1/10片,,,379,,35.4,13.4,20.3,,,,,,,,,,,,,,,,,,,,,,,,,,,505,,,,,,,,
289,0005EAJLWE2H0059,(大)夏威夷滋多星酥香波蘿餅皮1/10片,,,326,,35,10.9,15.7,,,,,,,,,,,,,,,,,,,,,,,,,,,281,,,,,,,,
290,0005EAJLWE2H0060,(大)和風章魚燒酥香波蘿餅皮1/10片,,,335,,35.1,11.2,16.5,,,,,,,,,,,,,,,,,,,,,,,,,,,481,,,,,,,,
291,0005EAJLWE1F0061,(大)超級總匯酥香波蘿餅皮1/10片,,,331,,32.4,11.3,16.2,,,,,,,,,,,,,,,,,,,,,,,,,,,428,,,,,,,,
292,0005EAJLWE1F0062,(大)海鮮酥香波蘿餅皮1/10片,,,324,,33,12.9,15.4,,,,,,,,,,,,,,,,,,,,,,,,,,,513,,,,,,,,
293,0005EAJLWE2K0063,(大)鐵板牛柳酥香波蘿餅皮1/10片,,,307,,30.5,9.9,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,407,,,,,,,,
294,0005EAJLWE2K0064,(大)哈辣墨西哥酥香波蘿餅皮1/10片,,,331,,31.3,11.2,17.7,,,,,,,,,,,,,,,,,,,,,,,,,,,507,,,,,,,,
295,0005EAJLWE2K0065,(大)韓式泡菜燒肉酥香波蘿餅皮1/10片,,,349,,33.3,12.8,18.1,,,,,,,,,,,,,,,,,,,,,,,,,,,637,,,,,,,,
296,0005EAJLWE1F0066,(大)海陸大亨酥香波蘿餅皮1/10片,,,353,,33.2,13.6,18.2,,,,,,,,,,,,,,,,,,,,,,,,,,,561,,,,,,,,
297,0005EAJLWE1F0067,(大)雙層美式臘腸酥香波蘿餅皮1/10片,,,360,,30.3,13.1,20.5,,,,,,,,,,,,,,,,,,,,,,,,,,,547,,,,,,,,
298,0005EAJLWE1F0068,(大)法式蝦蟹鮑魚菇酥香波蘿餅皮1/10片,,,308,,30.2,11,15.4,,,,,,,,,,,,,,,,,,,,,,,,,,,308,,,,,,,,
299,0005EAJLWE1F0069,(大)六小福酥香波蘿餅皮1/10片,,,322,,32.2,11.3,16.4,,,,,,,,,,,,,,,,,,,,,,,,,,,423,,,,,,,,
300,0005EAJLWE2H0070,(大)燻雞絲蘑菇酥香波蘿餅皮1/10片,,,208,,9.5,8.1,15.3,,,,,,,,,,,,,,,,,,,,,,,,,,,511,,,,,,,,
301,0005EAJLWE2H0071,(大)彩蔬鮮菇酥香波蘿餅皮1/10片,,,310,,32.2,10.2,15.4,,,,,,,,,,,,,,,,,,,,,,,,,,,454,,,,,,,,
302,0005EAJLWE2H0072,(大)鄉野青蔬酥香波蘿餅皮1/10片,,,324,,35.5,10.6,15.5,,,,,,,,,,,,,,,,,,,,,,,,,,,512,,,,,,,,
303,0005EAJLWE1F0073,(大)皇朝海龍宴酥香波蘿餅皮1/10片,,,365,,36.3,11.8,18.1,,,,,,,,,,,,,,,,,,,,,,,,,,,288,,,,,,,,
304,0005EAJLWE1F0074,(大)炙燒松坂酥香波蘿餅皮1/10片,,,312,,32,10.8,15.6,,,,,,,,,,,,,,,,,,,,,,,,,,,395,,,,,,,,
305,0005EAJLWE1F0075,(大)超級海鮮宴鬆厚餅皮1/10片,,,244,,28.3,9.9,9.7,,,,,,,,,,,,,,,,,,,,,,,,,,,413,,,,,,,,
306,0005EAJLWE1F0076,(大)壽喜雪花牛鬆厚餅皮1/10片,,,246,,28.9,9.7,10.1,,,,,,,,,,,,,,,,,,,,,,,,,,,445,,,,,,,,
307,0005EAJLWE1F0077,(大)御牛黃金鱈鬆厚餅皮1/10片,,,257,,29.6,10.5,10.8,,,,,,,,,,,,,,,,,,,,,,,,,,,440,,,,,,,,
308,0005EAJLWE2H0078,(大)黃金和風雞鬆厚餅皮1/10片,,,325,,29.5,12.7,17.2,,,,,,,,,,,,,,,,,,,,,,,,,,,486,,,,,,,,
309,0005EAJLWE2H0079,(大)夏威夷滋多星鬆厚餅皮1/10片,,,291,,29.9,11.4,13.9,,,,,,,,,,,,,,,,,,,,,,,,,,,484,,,,,,,,
310,0005EAJLWE2H0080,(大)和風章魚燒鬆厚餅皮1/10片,,,295,,29.1,11.5,14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,511,,,,,,,,
311,0005EAJLWE1F0081,(大)超級總匯鬆厚餅皮1/10片,,,277,,26.5,10.6,13.2,,,,,,,,,,,,,,,,,,,,,,,,,,,409,,,,,,,,
