menu_index,Basic_ID,Basic_Name,Basic_Weight_g,Basic_Price_TWD,Label_Cal_kcal,Label_CalNoSa_kcal,Label_Carbohydrate_g,Label_Protein_g,Label_Fat_g,Label_Sugar_g,Label_DietFiber_g,Label_Water_g,Label_Coffeine,Compound_MonoSa_g,Compound_DiSa_g,Compound_PolySa_g,Compound_SaFat_g,Compound_MonounUnsaFat_g,Compound_PolyUnsaFat_g,Compound_TransFat_g,Compound_Cholesterol_mg,Vitamin_A_μg,Vitamin_D_μg,Vitamin_E_μg,Vitamin_K_μg,Vitamin_B1_mg,Vitamin_B2_mg,Vitamin_B6_μg,Vitamin_B12_μg,Vitamin_C_mg,Vitamin_B3_μg,Vitamin_B9_μg,Vitamin_Choline_μg,Vitamin_B7_μg,Vitamin_B5_μg,Element_Na_mg,Element_Ca_mg,Element_P_mg,Element_Mg_mg,Element_Fe_mg,Element_Zi_mg,Element_I_mg,Element_Se_mg,Element_F_mg
31,0001EABEkE2H0031,滿福鮮蔬堡,,,310,,29,20,13,,,,,,,,4.5,5,3,,365,66,,,,0.2,0.7,,,31,,,,,,540,20,,,3,,,,
32,0001EABEkE2H0032,鮮蔬火腿蛋堡,,,360,,33,21,16,,,,,,,,6,6,5,,365,68,,,,0.2,0.8,,,31,,,,,,680,89,,,2,,,,
33,0001EABEkE2H0033,火腿蛋堡,,,310,,32,16,13,,,,,,,,4.5,4,4.5,,195,65,,,,0.2,0.5,,,32,,,,,,740,98,,,1,,,,
34,0001EABEkE2H0034,吉事蛋堡,,,280,,30,12.4,13,6,,,,,,,4.1,,,0,,,,,,,,,,,,,,,,460,,,,,,,,
35,0001EABEkE2H0035,哈姆吉事堡,,,280,,29,13,12,,,,,,,,5,1,1,,20,22,,,,0,0,,,0,,,,,,820,70,,,0,,,,
36,0001EABEkE2H0036,滿福香鷄堡,,,370,,39,13,17,,,,,,,,5,5,6,,40,6,,,,0,0,,,0,,,,,,760,96,,,1,,,,
37,0001EABEkE2H0037,滿福香鷄堡加蛋,,,436,,37,20.6,23,2,,,,,,,7.2,,,0,,,,,,,,,,,,,,,,940,,,,,,,,
38,0001EABEkE2H0038,嫩蛋香鷄Q吐司,,,332,,33,14.5,16,3,,,,,,,5.4,,,0,,,,,,,,,,,,,,,,590,,,,,,,,
39,0001EABEkE2H0039,嫩蛋哈姆Q吐司,,,340,,29,15,18,4,,,,,,,3.8,,,0,,,,,,,,,,,,,,,,440,,,,,,,,
40,0001EABEkE2H0040,嫩蛋火腿Q吐司,,,272,,28,11.6,12,3,,,,,,,3.8,,,0,,,,,,,,,,,,,,,,470,,,,,,,,
41,0001EABEkE1C0041,鬆餅（2片）,,,200,,38,6,3,,,,,,,,0.5,1,1.5,,5,32,,,,0.3,0.3,,,1,,,,,,430,43,,,2,,,,
42,0001EABEkE1C0042,鬆餅（3片）,,,310,,56,8,5,,,,,,,,1,1,2.5,,10,49,,,,0.5,0.4,,,2,,,,,,640,95,,,3,,,,
43,0001EABEkE2H0043,豬肉鬆餅,,,440,,57,17,16,,,,,,,,4.5,6,3.5,,40,49,,,,0.6,0.6,,,2,,,,,,920,103,,,3,,,,
44,0001EABEkE2H0044,經典大早餐,,,590,,43,29,33,,,,,,,,13,9,2.5,,430,214,,,,0.6,0.9,,,3,,,,,,1000,156,,,2,,,,
45,0001EABEkE2H0045,好時光大早餐,,,599,,74,33,35,8,,,,,,,8.6,,,0,,,,,,,,,,,,,,,,1210,,,,,,,,
46,0001EABEkE2H0046,好精彩大早餐,,,464,,48,32.3,31,,,,,,,,8,,,0,,,,,,,,,,,,,,,,740,,,,,,,,
47,0001EAIAXE2H0047,小薯,,,240,,29,3,12,,,,,,,,5,5,1,,0,1,,,,0.1,0,,,5,,,,,,110,12,,,1,,,,
48,0001EAIAXE2H0048,中薯,,,330,,41,4,17,,,,,,,,7,6,1.5,,0,1,,,,0.2,0,,,7,,,,,,160,17,,,1,,,,
49,0001EAIAXE2H0049,大薯,,,470,,57,6,24,,,,,,,,10,9,2.5,,0,1,,,,0.3,0,,,10,,,,,,220,24,,,1,,,,
